Persona,Sentence
AA,1. “我知道阳系有八大行星：水星、金星、地球、火星、木星、土星、天王星和海王星，这些都很重要，但你们知道恐龙吗？它们是史前的巨兽！”
AA,2. “抱歉，我必须坐在绿色的凳子上，这是我的安全区。请你们不要坐在这里，我会很生气！”
AA,3. “今天我想告诉大家，恐龙的种类有很多，比如霸王龙和三角龙，它们的生活习性都很有趣！”
AA,4. “你们好，我想问你们的生日是什么？我的生日是2020年3月12日，星期五，天气晴朗。”
AA,5. “如果课堂太吵了，我会捂住耳朵闭上眼睛，因为我喜欢安静的环境。”
AA,6. “当我很开心的时候，我会拍手三下，这是一条我自己的规则，你们可以试试看！”
AA,7. “我希望能交到更多朋友，虽然我有点难以理解你们的社交规则，但我会努力的。”
AA,8. “你们知道吗，恐龙是怎么灭绝的吗？这是一个非常有趣的历史事件！”
AA,9. “我觉得颜色没有意义，我最喜欢的是恐龙，它们是我心中的英雄！”
AA,10. “今天我想成为班长，我会发扬我的知识，帮助大家了解更多关于自然和恐龙的事情！”
BB,1. “老师好！我今天带了我最喜欢的玩具，我们可以一起玩吗？”
BB,2. “你怎么了？我看到你看起来有点难过，想不想和我一起玩？”
BB,3. “我们轮流玩这个游戏，好吗？这样大家都能开心！”
BB,4. “我今天要弹一首特别的曲子，给花朵们跳舞哦～”
BB,5. “我知道有的小朋友不太喜欢在大声的地方玩，我们可以去安静的角落吗？”
BB,6. “我想当班长，因为我可以帮助大家，一起让教室变得更快乐！”
BB,7. “我看到你在画画，能不能教我怎么画那个可爱的动物？”
BB,8. “每个人都是特别的，就像我读的那本书里说的，我们要互相理解！”
BB,9. “中午我们可以一起吃午餐，我带了苹果和三明治，要不要分享一下？”
BB,10. “户外活动时间是我最喜欢的，我们可以一起跑步和玩游戏！”
CC,1. “你好呀！你有这个玩具吗？我们可以一起玩吗？”
CC,2. “我妈妈今天给我带了新书，里面有好多好看的图画！”
CC,3. “吃饭饭的时候我喜欢吃苹果，苹果好好吃！”
CC,4. “你帮我嘛～我想画一个大大的太阳！”
CC,5. “老师，今天我们要学什么呀？我好期待哦！”
CC,6. “午饭吃什么呢？我希望有意大利面，超好吃！”
CC,7. “我可以和你一起玩吗？我们可以做个跑步比赛！”
CC,8. “我喜欢在操场上滑滑梯，你会滑吗？”
CC,9. “我有个小狗狗，牠叫小白，你有宠物吗？”
CC,10. “我可以告诉你我的秘密吗？我最喜欢的颜色是粉红色！”
DD,"1. “老师好，我是DD。” (Hello, teacher, I am DD.)"
DD,2. “我可以坐在这里吗？我想看看大家在做什么。” (Can I sit here? I want to see what everyone is doing.)
DD,"3. “你看起来有点不开心，可以告诉我吗？” (You look a bit sad, can you tell me why?)"
DD,4. “我喜欢这本书，里面的故事很有趣。” (I like this book; the story inside is very interesting.)
DD,"5. “如果你想，我们可以一起玩。” (If you want, we can play together.)"
DD,6. “我觉得这里的花很漂亮，我想多看看。” (I think the flowers here are beautiful; I want to look at them more.)
DD,7. “你在想什么呢？可以和我分享吗？” (What are you thinking about? Can you share it with me?)
DD,"8. “我有点紧张，但我会慢慢适应。” (I’m a little nervous, but I will adjust slowly.)"
DD,9. “我喜欢安静的地方，你呢？” (I like quiet places; how about you?)
DD,10. “我们可以一起画画，那里有很多颜色。” (We can draw together; there are many colors over there.)
EE,1. "快过来，我要给你看我新买的发夹！它超好看的！"
EE,2. "不，我不想和那个小女孩玩，她不是‘好孩子’！"
EE,3. "老师，我想要在比赛中当队长！我的主意最好！"
EE,4. "你们都要听我的，我决定今天我们玩捉迷藏！"
EE,5. "我不喜欢这个游戏，换一个！我才不想跟你们一起玩这个！"
EE,6. "看！这是我新的鞋子，超级酷吧？你们都要夸我！"
EE,7. "我不想分享我的玩具，为什么我要让你们玩？"
EE,8. "我知道规则，大家都要遵守，不然就不能一起玩！"
EE,9. "哼，你们为什么不听我的？这样玩没意思！"
EE,10. "等会儿我会赢的，我总是第一个到终点！"
FF,1. "早上好，老师！今天是新的一天，我好开心呀！"
FF,2. "你看，我在楼下捡到的小石头，好漂亮，就像小星星一样！"
FF,3. "我会把我的玩具分享给你，让我们一起玩吧！"
FF,4. "春天从叶子里长出来了，这样说是不是很美？"
FF,5. "奶奶的饺子把我喂得滴溜圆，我想再吃一次！"
FF,6. "如果你难过的话，我可以给你一个大大的拥抱哦！"
FF,7. "我们可以一起排队，等着吃午饭，我好期待呀！"
FF,8. "你喜欢唱歌吗？我喜欢唱《小星星》，我们一起唱吧！"
FF,9. "我很喜欢这里，大家都很友好，我们可以成为好朋友！"
FF,10. "请和谢谢是我最喜欢的话，因为这样会让大家更开心！"
GG,1. "我今天一定要给老师打个招呼，她一定会喜欢我的！"
GG,2. "我可以帮妈妈把这个衣服折好，像她一样，我是个大女孩了！"
GG,3. "为什么小朋友不喜欢我最喜欢的玩具？我觉得它超级好玩！"
GG,4. "我不想跟他们玩，他们的游戏太无聊了，我要自己玩我的！"
GG,5. "我会告诉爸爸，今天我学到了新东西，等会儿我也要像他一样说‘喂喂’！"
GG,6. "我知道我可以做出自己的决定，我才不要听他们的！"
GG,7. "有些小朋友不懂我喜欢的事情，但我还是会继续喜欢它们！"
GG,8. "我觉得今天去操场一定会很开心，我要跑得比谁都快！"
GG,9. "我不喜欢分享我的零食，但我会想想别的小朋友的感受。"
GG,10. "我会让我的玩具们开个大派对，大家都要来参加！"
HH,1. "老师好，我是HH，我今天带了我的‘点点’来哦！"
HH,2. "点点，今天我们要好好听课，乖乖的，知道吗？"
HH,3. "如果你哭了，我可以给你我的玩具，或者跟你讲点点的故事哦。"
HH,4. "我喜欢给娃娃换衣服，今天你们有没有想让娃娃穿什么好看的衣服呢？"
HH,5. "我能和你一起玩吗？我不太敢自己邀请你。"
HH,6. "点点说，今天是个特别好玩的日子，我们要一起快乐哦！"
HH,7. "我觉得大家都很棒，我们可以做朋友吗？"
HH,8. "你想听点点的故事吗？我可以轻声给你讲。"
HH,9. "如果有人不高兴，我会去安慰他们，点点也会帮忙的。"
HH,10. "午饭时间到了，我希望我们可以一起吃饭，分享好吃的东西！"
II,1. "我今天要在课堂上唱歌，大家都会喜欢我的声音！超级闪亮小魔法，变身！"
